iata,icao,airline,country
AA,AAL,"American Airlines","United States"
DL,DAL,"Delta Air Lines","United States"
UA,UAL,"United Airlines","United States"
WN,SWA,"Southwest Airlines","United States"
AS,ASA,"Alaska Airlines","United States"
B6,JBU,"JetBlue","United States"
NK,NKS,"Spirit Airlines","United States"
F9,FFT,"Frontier Airlines","United States"
HA,HAL,"Hawaiian Airlines","United States"
G4,AAY,"Allegiant Air","United States"
AC,ACA,"Air Canada","Canada"
WS,WJA,"WestJet","Canada"
BA,BAW,"British Airways","United Kingdom"
VS,VIR,"Virgin Atlantic","United Kingdom"
U2,EZY,"easyJet","United Kingdom"
FR,RYR,"Ryanair","Ireland"
EI,EIN,"Aer Lingus","Ireland"
LH,DLH,"Lufthansa","Germany"
EW,EWG,"Eurowings","Germany"
DE,CFG,"Condor","Germany"
AF,AFR,"Air France","France"
KL,KLM,"KLM","Netherlands"
HV,TRA,"Transavia","Netherlands"
IB,IBE,"Iberia","Spain"
VY,VLG,"Vueling","Spain"
UX,AEA,"Air Europa","Spain"
AZ,ITY,"ITA Airways","Italy"
LX,SWR,"Swiss","Switzerland"
OS,AUA,"Austrian Airlines","Austria"
SN,BEL,"Brussels Airlines","Belgium"
SK,SAS,"SAS","Sweden"
AY,FIN,"Finnair","Finland"
DY,NAX,"Norwegian","Norway"
TP,TAP,"TAP Air Portugal","Portugal"
TK,THY,"Turkish Airlines","Turkey"
PC,PGT,"Pegasus Airlines","Turkey"
SU,AFL,"Aeroflot","Russia"
LO,LOT,"LOT Polish Airlines","Poland"
A3,AEE,"Aegean Airlines","Greece"
EK,UAE,"Emirates","United Arab Emirates"
EY,ETD,"Etihad Airways","United Arab Emirates"
QR,QTR,"Qatar Airways","Qatar"
SV,SVA,"Saudia","Saudi Arabia"
GF,GFA,"Gulf Air","Bahrain"
KU,KAC,"Kuwait Airways","Kuwait"
WY,OMA,"Oman Air","Oman"
LY,ELY,"El Al","Israel"
RJ,RJA,"Royal Jordanian","Jordan"
ME,MEA,"Middle East Airlines","Lebanon"
MS,MSR,"EgyptAir","Egypt"
ET,ETH,"Ethiopian Airlines","Ethiopia"
KQ,KQA,"Kenya Airways","Kenya"
SA,SAA,"South African Airways","South Africa"
AT,RAM,"Royal Air Maroc","Morocco"
SQ,SIA,"Singapore Airlines","Singapore"
TR,TGW,"Scoot","Singapore"
MH,MAS,"Malaysia Airlines","Malaysia"
AK,AXM,"AirAsia","Malaysia"
TG,THA,"Thai Airways","Thailand"
VN,HVN,"Vietnam Airlines","Vietnam"
GA,GIA,"Garuda Indonesia","Indonesia"
PR,PAL,"Philippine Airlines","Philippines"
5J,CEB,"Cebu Pacific","Philippines"
CX,CPA,"Cathay Pacific","Hong Kong"
CA,CCA,"Air China","China"
MU,CES,"China Eastern Airlines","China"
CZ,CSN,"China Southern Airlines","China"
HU,CHH,"Hainan Airlines","China"
NH,ANA,"All Nippon Airways","Japan"
JL,JAL,"Japan Airlines","Japan"
KE,KAL,"Korean Air","South Korea"
OZ,AAR,"Asiana Airlines","South Korea"
AI,AIC,"Air India","India"
6E,IGO,"IndiGo","India"
QF,QFA,"Qantas","Australia"
VA,VOZ,"Virgin Australia","Australia"
JQ,JST,"Jetstar","Australia"
NZ,ANZ,"Air New Zealand","New Zealand"
FJ,FJI,"Fiji Airways","Fiji"
LA,LAN,"LATAM Airlines","Chile"
AV,AVA,"Avianca","Colombia"
CM,CMP,"Copa Airlines","Panama"
AM,AMX,"Aeromexico","Mexico"
Y4,VOI,"Volaris","Mexico"
G3,GLO,"GOL Linhas Aereas","Brazil"
AD,AZU,"Azul Brazilian Airlines","Brazil"